task_id,epic_id,epic_name,title,goal,priority,dependencies,inputs,outputs,subtasks,acceptance_criteria
E05-T01,E05,Market raw ingestion,Описать provider adapter contract для market data,"Реализовать завершенный LEGO-компонент в эпике ""Market raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E04-T10,config files; repository state; outputs of previous epics,artifact for описать provider adapter contract для market data,"Уточнить границы и инварианты для задачи ""Описать provider adapter contract для market data"" | Реализовать основной функциональный путь для задачи ""Описать provider adapter contract для market data"" | Добавить логирование, артефакты и manifests для задачи ""Описать provider adapter contract для market data"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E05-T02,E05,Market raw ingestion,Реализовать загрузку raw market payloads,"Реализовать завершенный LEGO-компонент в эпике ""Market raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E05-T01; E04-T10,config files; repository state; outputs of previous epics,artifact for реализовать загрузку raw market payloads,"Уточнить границы и инварианты для задачи ""Реализовать загрузку raw market payloads"" | Реализовать основной функциональный путь для задачи ""Реализовать загрузку raw market payloads"" | Добавить логирование, артефакты и manifests для задачи ""Реализовать загрузку raw market payloads"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E05-T03,E05,Market raw ingestion,Сохранять request manifest для каждого batch,"Реализовать завершенный LEGO-компонент в эпике ""Market raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E05-T02; E04-T10,config files; repository state; outputs of previous epics,artifact for сохранять request manifest для каждого batch,"Уточнить границы и инварианты для задачи ""Сохранять request manifest для каждого batch"" | Реализовать основной функциональный путь для задачи ""Сохранять request manifest для каждого batch"" | Добавить логирование, артефакты и manifests для задачи ""Сохранять request manifest для каждого batch"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E05-T04,E05,Market raw ingestion,Нормализовать market payload в bronze schema,"Реализовать завершенный LEGO-компонент в эпике ""Market raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E05-T03,config files; repository state; outputs of previous epics,artifact for нормализовать market payload в bronze schema,"Уточнить границы и инварианты для задачи ""Нормализовать market payload в bronze schema"" | Реализовать основной функциональный путь для задачи ""Нормализовать market payload в bronze schema"" | Добавить логирование, артефакты и manifests для задачи ""Нормализовать market payload в bronze schema"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E05-T05,E05,Market raw ingestion,Обрабатывать pagination и retry logic,"Реализовать завершенный LEGO-компонент в эпике ""Market raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E05-T04,config files; repository state; outputs of previous epics,artifact for обрабатывать pagination и retry logic,"Уточнить границы и инварианты для задачи ""Обрабатывать pagination и retry logic"" | Реализовать основной функциональный путь для задачи ""Обрабатывать pagination и retry logic"" | Добавить логирование, артефакты и manifests для задачи ""Обрабатывать pagination и retry logic"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E05-T06,E05,Market raw ingestion,Обрабатывать provider-side missing symbols,"Реализовать завершенный LEGO-компонент в эпике ""Market raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E05-T05,config files; repository state; outputs of previous epics,artifact for обрабатывать provider-side missing symbols,"Уточнить границы и инварианты для задачи ""Обрабатывать provider-side missing symbols"" | Реализовать основной функциональный путь для задачи ""Обрабатывать provider-side missing symbols"" | Добавить логирование, артефакты и manifests для задачи ""Обрабатывать provider-side missing symbols"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E05-T07,E05,Market raw ingestion,Валидировать базовые типы и mandatory fields,"Реализовать завершенный LEGO-компонент в эпике ""Market raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E05-T06,config files; repository state; outputs of previous epics,artifact for валидировать базовые типы и mandatory fields,"Уточнить границы и инварианты для задачи ""Валидировать базовые типы и mandatory fields"" | Реализовать основной функциональный путь для задачи ""Валидировать базовые типы и mandatory fields"" | Добавить логирование, артефакты и manifests для задачи ""Валидировать базовые типы и mandatory fields"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E05-T08,E05,Market raw ingestion,Реализовать incremental ingest policy,"Реализовать завершенный LEGO-компонент в эпике ""Market raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E05-T07,config files; repository state; outputs of previous epics,artifact for реализовать incremental ingest policy,"Уточнить границы и инварианты для задачи ""Реализовать incremental ingest policy"" | Реализовать основной функциональный путь для задачи ""Реализовать incremental ingest policy"" | Добавить логирование, артефакты и manifests для задачи ""Реализовать incremental ingest policy"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E05-T09,E05,Market raw ingestion,Реализовать backfill policy по датам и тикерам,"Реализовать завершенный LEGO-компонент в эпике ""Market raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E05-T08,config files; repository state; outputs of previous epics,artifact for реализовать backfill policy по датам и тикерам,"Уточнить границы и инварианты для задачи ""Реализовать backfill policy по датам и тикерам"" | Реализовать основной функциональный путь для задачи ""Реализовать backfill policy по датам и тикерам"" | Добавить логирование, артефакты и manifests для задачи ""Реализовать backfill policy по датам и тикерам"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E05-T10,E05,Market raw ingestion,Сформировать ingest diagnostics report,"Реализовать завершенный LEGO-компонент в эпике ""Market raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E05-T09,config files; repository state; outputs of previous epics,artifact for сформировать ingest diagnostics report,"Уточнить границы и инварианты для задачи ""Сформировать ingest diagnostics report"" | Реализовать основной функциональный путь для задачи ""Сформировать ingest diagnostics report"" | Добавить логирование, артефакты и manifests для задачи ""Сформировать ingest diagnostics report"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E06-T01,E06,Fundamentals raw ingestion,Описать provider adapter contract для fundamentals,"Реализовать завершенный LEGO-компонент в эпике ""Fundamentals raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E05-T10,config files; repository state; outputs of previous epics,artifact for описать provider adapter contract для fundamentals,"Уточнить границы и инварианты для задачи ""Описать provider adapter contract для fundamentals"" | Реализовать основной функциональный путь для задачи ""Описать provider adapter contract для fundamentals"" | Добавить логирование, артефакты и manifests для задачи ""Описать provider adapter contract для fundamentals"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E06-T02,E06,Fundamentals raw ingestion,Реализовать загрузку raw filings/company facts,"Реализовать завершенный LEGO-компонент в эпике ""Fundamentals raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E06-T01; E05-T10,config files; repository state; outputs of previous epics,artifact for реализовать загрузку raw filings/company facts,"Уточнить границы и инварианты для задачи ""Реализовать загрузку raw filings/company facts"" | Реализовать основной функциональный путь для задачи ""Реализовать загрузку raw filings/company facts"" | Добавить логирование, артефакты и manifests для задачи ""Реализовать загрузку raw filings/company facts"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E06-T03,E06,Fundamentals raw ingestion,Извлекать filing_date и acceptance_datetime,"Реализовать завершенный LEGO-компонент в эпике ""Fundamentals raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E06-T02; E05-T10,config files; repository state; outputs of previous epics,artifact for извлекать filing_date и acceptance_datetime,"Уточнить границы и инварианты для задачи ""Извлекать filing_date и acceptance_datetime"" | Реализовать основной функциональный путь для задачи ""Извлекать filing_date и acceptance_datetime"" | Добавить логирование, артефакты и manifests для задачи ""Извлекать filing_date и acceptance_datetime"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E06-T04,E06,Fundamentals raw ingestion,Рассчитывать available_from по policy,"Реализовать завершенный LEGO-компонент в эпике ""Fundamentals raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E06-T03,config files; repository state; outputs of previous epics,artifact for рассчитывать available_from по policy,"Уточнить границы и инварианты для задачи ""Рассчитывать available_from по policy"" | Реализовать основной функциональный путь для задачи ""Рассчитывать available_from по policy"" | Добавить логирование, артефакты и manifests для задачи ""Рассчитывать available_from по policy"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E06-T05,E06,Fundamentals raw ingestion,Нормализовать metric names в canonical dictionary,"Реализовать завершенный LEGO-компонент в эпике ""Fundamentals raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E06-T04,config files; repository state; outputs of previous epics,artifact for нормализовать metric names в canonical dictionary,"Уточнить границы и инварианты для задачи ""Нормализовать metric names в canonical dictionary"" | Реализовать основной функциональный путь для задачи ""Нормализовать metric names в canonical dictionary"" | Добавить логирование, артефакты и manifests для задачи ""Нормализовать metric names в canonical dictionary"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E06-T06,E06,Fundamentals raw ingestion,Сохранять raw payloads и parse manifests,"Реализовать завершенный LEGO-компонент в эпике ""Fundamentals raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E06-T05,config files; repository state; outputs of previous epics,artifact for сохранять raw payloads и parse manifests,"Уточнить границы и инварианты для задачи ""Сохранять raw payloads и parse manifests"" | Реализовать основной функциональный путь для задачи ""Сохранять raw payloads и parse manifests"" | Добавить логирование, артефакты и manifests для задачи ""Сохранять raw payloads и parse manifests"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E06-T07,E06,Fundamentals raw ingestion,Размечать restatement events,"Реализовать завершенный LEGO-компонент в эпике ""Fundamentals raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E06-T06,config files; repository state; outputs of previous epics,artifact for размечать restatement events,"Уточнить границы и инварианты для задачи ""Размечать restatement events"" | Реализовать основной функциональный путь для задачи ""Размечать restatement events"" | Добавить логирование, артефакты и manifests для задачи ""Размечать restatement events"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E06-T08,E06,Fundamentals raw ingestion,Строить bronze fundamentals table,"Реализовать завершенный LEGO-компонент в эпике ""Fundamentals raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E06-T07,config files; repository state; outputs of previous epics,artifact for строить bronze fundamentals table,"Уточнить границы и инварианты для задачи ""Строить bronze fundamentals table"" | Реализовать основной функциональный путь для задачи ""Строить bronze fundamentals table"" | Добавить логирование, артефакты и manifests для задачи ""Строить bronze fundamentals table"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E06-T09,E06,Fundamentals raw ingestion,Реализовать incremental fundamentals ingest,"Реализовать завершенный LEGO-компонент в эпике ""Fundamentals raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E06-T08,config files; repository state; outputs of previous epics,artifact for реализовать incremental fundamentals ingest,"Уточнить границы и инварианты для задачи ""Реализовать incremental fundamentals ingest"" | Реализовать основной функциональный путь для задачи ""Реализовать incremental fundamentals ingest"" | Добавить логирование, артефакты и manifests для задачи ""Реализовать incremental fundamentals ingest"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E06-T10,E06,Fundamentals raw ingestion,Подготовить diagnostics по покрытиям метрик,"Реализовать завершенный LEGO-компонент в эпике ""Fundamentals raw ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E06-T09,config files; repository state; outputs of previous epics,artifact for подготовить diagnostics по покрытиям метрик,"Уточнить границы и инварианты для задачи ""Подготовить diagnostics по покрытиям метрик"" | Реализовать основной функциональный путь для задачи ""Подготовить diagnostics по покрытиям метрик"" | Добавить логирование, артефакты и manifests для задачи ""Подготовить diagnostics по покрытиям метрик"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E07-T01,E07,Corporate actions ingestion,Описать contract для corporate actions adapter,"Реализовать завершенный LEGO-компонент в эпике ""Corporate actions ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E06-T10,config files; repository state; outputs of previous epics,artifact for описать contract для corporate actions adapter,"Уточнить границы и инварианты для задачи ""Описать contract для corporate actions adapter"" | Реализовать основной функциональный путь для задачи ""Описать contract для corporate actions adapter"" | Добавить логирование, артефакты и manifests для задачи ""Описать contract для corporate actions adapter"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E07-T02,E07,Corporate actions ingestion,Загружать splits,"Реализовать завершенный LEGO-компонент в эпике ""Corporate actions ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E07-T01; E06-T10,config files; repository state; outputs of previous epics,artifact for загружать splits,"Уточнить границы и инварианты для задачи ""Загружать splits"" | Реализовать основной функциональный путь для задачи ""Загружать splits"" | Добавить логирование, артефакты и manifests для задачи ""Загружать splits"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E07-T03,E07,Corporate actions ingestion,Загружать dividends,"Реализовать завершенный LEGO-компонент в эпике ""Corporate actions ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E07-T02; E06-T10,config files; repository state; outputs of previous epics,artifact for загружать dividends,"Уточнить границы и инварианты для задачи ""Загружать dividends"" | Реализовать основной функциональный путь для задачи ""Загружать dividends"" | Добавить логирование, артефакты и manifests для задачи ""Загружать dividends"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E07-T04,E07,Corporate actions ingestion,Загружать delisting events,"Реализовать завершенный LEGO-компонент в эпике ""Corporate actions ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E07-T03,config files; repository state; outputs of previous epics,artifact for загружать delisting events,"Уточнить границы и инварианты для задачи ""Загружать delisting events"" | Реализовать основной функциональный путь для задачи ""Загружать delisting events"" | Добавить логирование, артефакты и manifests для задачи ""Загружать delisting events"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E07-T05,E07,Corporate actions ingestion,Загружать symbol change events,"Реализовать завершенный LEGO-компонент в эпике ""Corporate actions ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E07-T04,config files; repository state; outputs of previous epics,artifact for загружать symbol change events,"Уточнить границы и инварианты для задачи ""Загружать symbol change events"" | Реализовать основной функциональный путь для задачи ""Загружать symbol change events"" | Добавить логирование, артефакты и manifests для задачи ""Загружать symbol change events"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E07-T06,E07,Corporate actions ingestion,Нормализовать corporate actions schema,"Реализовать завершенный LEGO-компонент в эпике ""Corporate actions ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E07-T05,config files; repository state; outputs of previous epics,artifact for нормализовать corporate actions schema,"Уточнить границы и инварианты для задачи ""Нормализовать corporate actions schema"" | Реализовать основной функциональный путь для задачи ""Нормализовать corporate actions schema"" | Добавить логирование, артефакты и manifests для задачи ""Нормализовать corporate actions schema"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E07-T07,E07,Corporate actions ingestion,Сшить corporate actions с security master,"Реализовать завершенный LEGO-компонент в эпике ""Corporate actions ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E07-T06,config files; repository state; outputs of previous epics,artifact for сшить corporate actions с security master,"Уточнить границы и инварианты для задачи ""Сшить corporate actions с security master"" | Реализовать основной функциональный путь для задачи ""Сшить corporate actions с security master"" | Добавить логирование, артефакты и manifests для задачи ""Сшить corporate actions с security master"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E07-T08,E07,Corporate actions ingestion,Проверять consistency split ratios,"Реализовать завершенный LEGO-компонент в эпике ""Corporate actions ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E07-T07,config files; repository state; outputs of previous epics,artifact for проверять consistency split ratios,"Уточнить границы и инварианты для задачи ""Проверять consistency split ratios"" | Реализовать основной функциональный путь для задачи ""Проверять consistency split ratios"" | Добавить логирование, артефакты и manifests для задачи ""Проверять consistency split ratios"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E07-T09,E07,Corporate actions ingestion,Строить canonical corporate actions layer,"Реализовать завершенный LEGO-компонент в эпике ""Corporate actions ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E07-T08,config files; repository state; outputs of previous epics,artifact for строить canonical corporate actions layer,"Уточнить границы и инварианты для задачи ""Строить canonical corporate actions layer"" | Реализовать основной функциональный путь для задачи ""Строить canonical corporate actions layer"" | Добавить логирование, артефакты и manifests для задачи ""Строить canonical corporate actions layer"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E07-T10,E07,Corporate actions ingestion,Подготовить audit report по corporate actions,"Реализовать завершенный LEGO-компонент в эпике ""Corporate actions ingestion"" без скрытых зависимостей и с явными acceptance criteria.",P0,E07-T09,config files; repository state; outputs of previous epics,artifact for подготовить audit report по corporate actions,"Уточнить границы и инварианты для задачи ""Подготовить audit report по corporate actions"" | Реализовать основной функциональный путь для задачи ""Подготовить audit report по corporate actions"" | Добавить логирование, артефакты и manifests для задачи ""Подготовить audit report по corporate actions"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E08-T01,E08,Market data quality assurance,Проверять OHLC positivity,"Реализовать завершенный LEGO-компонент в эпике ""Market data quality assurance"" без скрытых зависимостей и с явными acceptance criteria.",P1,E07-T10,config files; repository state; outputs of previous epics,artifact for проверять ohlc positivity,"Уточнить границы и инварианты для задачи ""Проверять OHLC positivity"" | Реализовать основной функциональный путь для задачи ""Проверять OHLC positivity"" | Добавить логирование, артефакты и manifests для задачи ""Проверять OHLC positivity"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E08-T02,E08,Market data quality assurance,Проверять OHLC logical consistency,"Реализовать завершенный LEGO-компонент в эпике ""Market data quality assurance"" без скрытых зависимостей и с явными acceptance criteria.",P1,E08-T01; E07-T10,config files; repository state; outputs of previous epics,artifact for проверять ohlc logical consistency,"Уточнить границы и инварианты для задачи ""Проверять OHLC logical consistency"" | Реализовать основной функциональный путь для задачи ""Проверять OHLC logical consistency"" | Добавить логирование, артефакты и manifests для задачи ""Проверять OHLC logical consistency"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E08-T03,E08,Market data quality assurance,Проверять volume non-negativity,"Реализовать завершенный LEGO-компонент в эпике ""Market data quality assurance"" без скрытых зависимостей и с явными acceptance criteria.",P1,E08-T02; E07-T10,config files; repository state; outputs of previous epics,artifact for проверять volume non-negativity,"Уточнить границы и инварианты для задачи ""Проверять volume non-negativity"" | Реализовать основной функциональный путь для задачи ""Проверять volume non-negativity"" | Добавить логирование, артефакты и manifests для задачи ""Проверять volume non-negativity"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E08-T04,E08,Market data quality assurance,Проверять duplicate rows,"Реализовать завершенный LEGO-компонент в эпике ""Market data quality assurance"" без скрытых зависимостей и с явными acceptance criteria.",P1,E08-T03,config files; repository state; outputs of previous epics,artifact for проверять duplicate rows,"Уточнить границы и инварианты для задачи ""Проверять duplicate rows"" | Реализовать основной функциональный путь для задачи ""Проверять duplicate rows"" | Добавить логирование, артефакты и manifests для задачи ""Проверять duplicate rows"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E08-T05,E08,Market data quality assurance,Проверять impossible return spikes,"Реализовать завершенный LEGO-компонент в эпике ""Market data quality assurance"" без скрытых зависимостей и с явными acceptance criteria.",P1,E08-T04,config files; repository state; outputs of previous epics,artifact for проверять impossible return spikes,"Уточнить границы и инварианты для задачи ""Проверять impossible return spikes"" | Реализовать основной функциональный путь для задачи ""Проверять impossible return spikes"" | Добавить логирование, артефакты и manifests для задачи ""Проверять impossible return spikes"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
